name,type,start_time,duration,"ack","address","read","data"
"I2C","address",0.002003392,0.000022744,true,0x50,false,
"I2C","data",0.002027776,0.000023048,true,,,0x10
"I2C","start",0.002050000,0.000000008,,,,
"I2C","address",0.002053392,0.000022744,true,0x50,true,
"I2C","data",0.002077776,0.000023048,true,,,0x00
"I2C","stop",0.002100000,0.000000008,,,,
"I2C","start",0.002200000,0.000000008,,,,
"I2C","address",0.002203392,0.000022744,true,0x50,false,
"I2C","data",0.002227776,0.000023048,true,,,0x11
"I2C","start",0.002250000,0.000000008,,,,
"I2C","address",0.002253392,0.000022744,true,0x50,true,
"I2C","data",0.002277776,0.000023048,true,,,0x01
"I2C","stop",0.002300000,0.000000008,,,,
"I2C","start",0.002400000,0.000000008,,,,
"I2C","address",0.002403392,0.000022744,true,0x50,false,
"I2C","data",0.002427776,0.000023048,true,,,0x12
"I2C","start",0.002450000,0.000000008,,,,
"I2C","address",0.002453392,0.000022744,true,0x50,true,
"I2C","data",0.002477776,0.000023048,true,,,0x02
"I2C","stop",0.002500000,0.000000008,,,,
"I2C","start",0.002600000,0.000000008,,,,
"I2C","address",0.002603392,0.000022744,true,0x50,false,
"I2C","data",0.002627776,0.000023048,true,,,0x13
"I2C","start",0.002650000,0.000000008,,,,
"I2C","address",0.002653392,0.000022744,true,0x50,true,
"I2C","data",0.002677776,0.000023048,true,,,0x03
"I2C","stop",0.002700000,0.000000008,,,,
"I2C","start",0.002800000,0.000000008,,,,
"I2C","address",0.002803392,0.000022744,true,0x50,false,
"I2C","data",0.002827776,0.000023048,true,,,0x14
"I2C","start",0.002850000,0.000000008,,,,
"I2C","address",0.002853392,0.000022744,true,0x50,true,
"I2C","data",0.002877776,0.000023048,true,,,0x04
"I2C","stop",0.002900000,0.000000008,,,,
"I2C","start",0.003000000,0.000000008,,,,
"I2C","address",0.003003392,0.000022744,true,0x50,false,
"I2C","data",0.003027776,0.000023048,true,,,0x15
"I2C","start",0.003050000,0.000000008,,,,
"I2C","address",0.003053392,0.000022744,true,0x50,true,
"I2C","data",0.003077776,0.000023048,true,,,0x05
"I2C","stop",0.003100000,0.000000008,,,,
"I2C","start",0.003200000,0.000000008,,,,
"I2C","address",0.003203392,0.000022744,true,0x50,false,
"I2C","data",0.003227776,0.000023048,true,,,0x16
"I2C","start",0.003250000,0.000000008,,,,
"I2C","address",0.003253392,0.000022744,true,0x50,true,
"I2C","data",0.003277776,0.000023048,true,,,0x06
"I2C","stop",0.003300000,0.000000008,,,,
"I2C","start",0.003400000,0.000000008,,,,
"I2C","address",0.003403392,0.000022744,true,0x50,false,
"I2C","data",0.003427776,0.000023048,true,,,0x17
"I2C","start",0.003450000,0.000000008,,,,
"I2C","address",0.003453392,0.000022744,true,0x50,true,
"I2C","data",0.003477776,0.000023048,true,,,0x07
"I2C","stop",0.003500000,0.000000008,,,,
"I2C","start",0.003600000,0.000000008,,,,
"I2C","address",0.003603392,0.000022744,true,0x50,false,
"I2C","data",0.003627776,0.000023048,true,,,0x18
"I2C","start",0.003650000,0.000000008,,,,
"I2C","address",0.003653392,0.000022744,true,0x50,true,
"I2C","data",0.003677776,0.000023048,true,,,0x08
"I2C","stop",0.003700000,0.000000008,,,,
"I2C","start",0.003800000,0.000000008,,,,
"I2C","address",0.003803392,0.000022744,true,0x50,false,
"I2C","data",0.003827776,0.000023048,true,,,0x19
"I2C","start",0.003850000,0.000000008,,,,
"I2C","address",0.003853392,0.000022744,true,0x50,true,
"I2C","data",0.003877776,0.000023048,true,,,0x09
"I2C","stop",0.003900000,0.000000008,,,,
"I2C","start",0.004000000,0.000000008,,,,
"I2C","address",0.004003392,0.000022744,true,0x50,false,
"I2C","data",0.004027776,0.000023048,true,,,0x1A
"I2C","start",0.004050000,0.000000008,,,,
"I2C","address",0.004053392,0.000022744,true,0x50,true,
"I2C","data",0.004077776,0.000023048,true,,,0x0A
"I2C","stop",0.004100000,0.000000008,,,,
"I2C","start",0.004200000,0.000000008,,,,
"I2C","address",0.004203392,0.000022744,true,0x50,false,
"I2C","data",0.004227776,0.000023048,true,,,0x1B
"I2C","start",0.004250000,0.000000008,,,,
"I2C","address",0.004253392,0.000022744,true,0x50,true,
"I2C","data",0.004277776,0.000023048,true,,,0x0B
"I2C","stop",0.004300000,0.000000008,,,,
"I2C","start",0.004400000,0.000000008,,,,
"I2C","address",0.004403392,0.000022744,true,0x50,false,
"I2C","data",0.004427776,0.000023048,true,,,0x1C
"I2C","start",0.004450000,0.000000008,,,,
"I2C","address",0.004453392,0.000022744,true,0x50,true,
"I2C","data",0.004477776,0.000023048,true,,,0x0C
"I2C","stop",0.004500000,0.000000008,,,,
"I2C","start",0.004600000,0.000000008,,,,
"I2C","address",0.004603392,0.000022744,true,0x50,false,
"I2C","data",0.004627776,0.000023048,true,,,0x1D
"I2C","start",0.004650000,0.000000008,,,,
"I2C","address",0.004653392,0.000022744,true,0x50,true,
"I2C","data",0.004677776,0.000023048,true,,,0x0D
"I2C","stop",0.004700000,0.000000008,,,,
"I2C","start",0.004800000,0.000000008,,,,
"I2C","address",0.004803392,0.000022744,true,0x50,false,
"I2C","data",0.004827776,0.000023048,true,,,0x1E
"I2C","start",0.004850000,0.000000008,,,,
"I2C","address",0.004853392,0.000022744,true,0x50,true,
"I2C","data",0.004877776,0.000023048,true,,,0x0E
"I2C","stop",0.004900000,0.000000008,,,,
"I2C","start",0.005000000,0.000000008,,,,
"I2C","address",0.005003392,0.000022744,true,0x50,false,
"I2C","data",0.005027776,0.000023048,true,,,0x1F
"I2C","start",0.005050000,0.000000008,,,,
"I2C","address",0.005053392,0.000022744,true,0x50,true,
"I2C","data",0.005077776,0.000023048,true,,,0x0F
"I2C","stop",0.005100000,0.000000008,,,,
"I2C","start",0.006000000,0.000000008,,,,
"I2C","address",0.006003392,0.000022744,true,0x68,false,
"I2C","data",0.006027776,0.000023048,true,,,0x00
"I2C","data",0.006052464,0.000023048,true,,,0x00
"I2C","data",0.006077152,0.000023048,true,,,0x00
"I2C","stop",0.006101840,0.000000008,,,,
"I2C","start",0.006130000,0.000000008,,,,
"I2C","address",0.006133392,0.000022744,true,0x68,false,
"I2C","data",0.006157776,0.000023048,true,,,0x00
"I2C","data",0.006182464,0.000023048,true,,,0x01
"I2C","data",0.006207152,0.000023048,true,,,0x01
"I2C","stop",0.006231840,0.000000008,,,,
"I2C","start",0.006260000,0.000000008,,,,
"I2C","address",0.006263392,0.000022744,true,0x68,false,
"I2C","data",0.006287776,0.000023048,true,,,0x00
"I2C","data",0.006312464,0.000023048,true,,,0x02
"I2C","data",0.006337152,0.000023048,true,,,0x02
"I2C","stop",0.006361840,0.000000008,,,,
"I2C","start",0.006390000,0.000000008,,,,
"I2C","address",0.006393392,0.000022744,true,0x68,false,
"I2C","data",0.006417776,0.000023048,true,,,0x00
"I2C","data",0.006442464,0.000023048,true,,,0x03
"I2C","data",0.006467152,0.000023048,true,,,0x03
"I2C","stop",0.006491840,0.000000008,,,,
"I2C","start",0.006520000,0.000000008,,,,
"I2C","address",0.006523392,0.000022744,true,0x68,false,
"I2C","data",0.006547776,0.000023048,true,,,0x00
"I2C","data",0.006572464,0.000023048,true,,,0x04
"I2C","data",0.006597152,0.000023048,true,,,0x04
"I2C","stop",0.006621840,0.000000008,,,,
"I2C","start",0.006650000,0.000000008,,,,
"I2C","address",0.006653392,0.000022744,true,0x68,false,
"I2C","data",0.006677776,0.000023048,true,,,0x00
"I2C","data",0.006702464,0.000023048,true,,,0x05
"I2C","data",0.006727152,0.000023048,true,,,0x05
"I2C","stop",0.006751840,0.000000008,,,,
"I2C","start",0.006780000,0.000000008,,,,
"I2C","address",0.006783392,0.000022744,true,0x68,false,
"I2C","data",0.006807776,0.000023048,true,,,0x00
"I2C","data",0.006832464,0.000023048,true,,,0x06
"I2C","data",0.006857152,0.000023048,true,,,0x06
"I2C","stop",0.006881840,0.000000008,,,,
"I2C","start",0.006910000,0.000000008,,,,
"I2C","address",0.006913392,0.000022744,true,0x68,false,
"I2C","data",0.006937776,0.000023048,true,,,0x00
"I2C","data",0.006962464,0.000023048,true,,,0x07
"I2C","data",0.006987152,0.000023048,true,,,0x07
"I2C","stop",0.007011840,0.000000008,,,,
"I2C","start",0.007040000,0.000000008,,,,
"I2C","address",0.007043392,0.000022744,true,0x68,false,
"I2C","data",0.007067776,0.000023048,true,,,0x00
"I2C","data",0.007092464,0.000023048,true,,,0x08
"I2C","data",0.007117152,0.000023048,true,,,0x08
"I2C","stop",0.007141840,0.000000008,,,,
"I2C","start",0.007170000,0.000000008,,,,
"I2C","address",0.007173392,0.000022744,true,0x68,false,
"I2C","data",0.007197776,0.000023048,true,,,0x00
"I2C","data",0.007222464,0.000023048,true,,,0x09
"I2C","data",0.007247152,0.000023048,true,,,0x09
"I2C","stop",0.007271840,0.000000008,,,,
"I2C","start",0.007300000,0.000000008,,,,
"I2C","address",0.007303392,0.000022744,true,0x68,false,
"I2C","data",0.007327776,0.000023048,true,,,0x00
"I2C","data",0.007352464,0.000023048,true,,,0x0A
"I2C","data",0.007377152,0.000023048,true,,,0x0A
"I2C","stop",0.007401840,0.000000008,,,,
"I2C","start",0.007430000,0.000000008,,,,
"I2C","address",0.007433392,0.000022744,true,0x68,false,
"I2C","data",0.007457776,0.000023048,true,,,0x00
"I2C","data",0.007482464,0.000023048,true,,,0x0B
"I2C","data",0.007507152,0.000023048,true,,,0x0B
"I2C","stop",0.007531840,0.000000008,,,,
"I2C","start",0.007560000,0.000000008,,,,
"I2C","address",0.007563392,0.000022744,true,0x68,false,
"I2C","data",0.007587776,0.000023048,true,,,0x00
"I2C","data",0.007612464,0.000023048,true,,,0x0C
"I2C","data",0.007637152,0.000023048,true,,,0x0C
"I2C","stop",0.007661840,0.000000008,,,,
"I2C","start",0.007690000,0.000000008,,,,
"I2C","address",0.007693392,0.000022744,true,0x68,false,
"I2C","data",0.007717776,0.000023048,true,,,0x00
"I2C","data",0.007742464,0.000023048,true,,,0x0D
"I2C","data",0.007767152,0.000023048,true,,,0x0D
"I2C","stop",0.007791840,0.000000008,,,,
"I2C","start",0.007820000,0.000000008,,,,
"I2C","address",0.007823392,0.000022744,true,0x68,false,
"I2C","data",0.007847776,0.000023048,true,,,0x00
"I2C","data",0.007872464,0.000023048,true,,,0x0E
"I2C","data",0.007897152,0.000023048,true,,,0x0E
"I2C","stop",0.007921840,0.000000008,,,,
"I2C","start",0.007950000,0.000000008,,,,
"I2C","address",0.007953392,0.000022744,true,0x68,false,
"I2C","data",0.007977776,0.000023048,true,,,0x00
"I2C","data",0.008002464,0.000023048,true,,,0x0F
"I2C","data",0.008027152,0.000023048,true,,,0x0F
"I2C","stop",0.008051840,0.000000008,,,,
"I2C","start",0.008300000,0.000000008,,,,
"I2C","address",0.008303392,0.000022744,true,0x68,false,
"I2C","data",0.008327776,0.000023048,true,,,0x00
"I2C","data",0.008352464,0.000023048,true,,,0x10
"I2C","start",0.008375000,0.000000008,,,,
"I2C","address",0.008378392,0.000022744,true,0x68,true,
"I2C","data",0.008402776,0.000023048,true,,,0x00
"I2C","stop",0.008427152,0.000000008,,,,
"I2C","start",0.008500000,0.000000008,,,,
"I2C","address",0.008503392,0.000022744,true,0x68,false,
"I2C","data",0.008527776,0.000023048,true,,,0x00
"I2C","data",0.008552464,0.000023048,true,,,0x11
"I2C","start",0.008575000,0.000000008,,,,
"I2C","address",0.008578392,0.000022744,true,0x68,true,
"I2C","data",0.008602776,0.000023048,true,,,0x01
"I2C","stop",0.008627152,0.000000008,,,,
"I2C","start",0.008700000,0.000000008,,,,
"I2C","address",0.008703392,0.000022744,true,0x68,false,
"I2C","data",0.008727776,0.000023048,true,,,0x00
"I2C","data",0.008752464,0.000023048,true,,,0x12
"I2C","start",0.008775000,0.000000008,,,,
"I2C","address",0.008778392,0.000022744,true,0x68,true,
"I2C","data",0.008802776,0.000023048,true,,,0x02
"I2C","stop",0.008827152,0.000000008,,,,
"I2C","start",0.008900000,0.000000008,,,,
"I2C","address",0.008903392,0.000022744,true,0x68,false,
"I2C","data",0.008927776,0.000023048,true,,,0x00
"I2C","data",0.008952464,0.000023048,true,,,0x13
"I2C","start",0.008975000,0.000000008,,,,
"I2C","address",0.008978392,0.000022744,true,0x68,true,
"I2C","data",0.009002776,0.000023048,true,,,0x03
"I2C","stop",0.009027152,0.000000008,,,,
"I2C","start",0.009100000,0.000000008,,,,
"I2C","address",0.009103392,0.000022744,true,0x68,false,
"I2C","data",0.009127776,0.000023048,true,,,0x00
"I2C","data",0.009152464,0.000023048,true,,,0x14
"I2C","start",0.009175000,0.000000008,,,,
"I2C","address",0.009178392,0.000022744,true,0x68,true,
"I2C","data",0.009202776,0.000023048,true,,,0x04
"I2C","stop",0.009227152,0.000000008,,,,
"I2C","start",0.009300000,0.000000008,,,,
"I2C","address",0.009303392,0.000022744,true,0x68,false,
"I2C","data",0.009327776,0.000023048,true,,,0x00
"I2C","data",0.009352464,0.000023048,true,,,0x15
"I2C","start",0.009375000,0.000000008,,,,
"I2C","address",0.009378392,0.000022744,true,0x68,true,
"I2C","data",0.009402776,0.000023048,true,,,0x05
"I2C","stop",0.009427152,0.000000008,,,,
"I2C","start",0.009500000,0.000000008,,,,
"I2C","address",0.009503392,0.000022744,true,0x68,false,
"I2C","data",0.009527776,0.000023048,true,,,0x00
"I2C","data",0.009552464,0.000023048,true,,,0x16
"I2C","start",0.009575000,0.000000008,,,,
"I2C","address",0.009578392,0.000022744,true,0x68,true,
"I2C","data",0.009602776,0.000023048,true,,,0x06
"I2C","stop",0.009627152,0.000000008,,,,
"I2C","start",0.009700000,0.000000008,,,,
"I2C","address",0.009703392,0.000022744,true,0x68,false,
"I2C","data",0.009727776,0.000023048,true,,,0x00
"I2C","data",0.009752464,0.000023048,true,,,0x17
"I2C","start",0.009775000,0.000000008,,,,
"I2C","address",0.009778392,0.000022744,true,0x68,true,
"I2C","data",0.009802776,0.000023048,true,,,0x07
"I2C","stop",0.009827152,0.000000008,,,,
"I2C","start",0.009900000,0.000000008,,,,
"I2C","address",0.009903392,0.000022744,true,0x68,false,
"I2C","data",0.009927776,0.000023048,true,,,0x00
"I2C","data",0.009952464,0.000023048,true,,,0x18
"I2C","start",0.009975000,0.000000008,,,,
"I2C","address",0.009978392,0.000022744,true,0x68,true,
"I2C","data",0.010002776,0.000023048,true,,,0x08
"I2C","stop",0.010027152,0.000000008,,,,
"I2C","start",0.010100000,0.000000008,,,,
"I2C","address",0.010103392,0.000022744,true,0x68,false,
"I2C","data",0.010127776,0.000023048,true,,,0x00
"I2C","data",0.010152464,0.000023048,true,,,0x19
"I2C","start",0.010175000,0.000000008,,,,
"I2C","address",0.010178392,0.000022744,true,0x68,true,
"I2C","data",0.010202776,0.000023048,true,,,0x09
"I2C","stop",0.010227152,0.000000008,,,,
"I2C","start",0.010300000,0.000000008,,,,
"I2C","address",0.010303392,0.000022744,true,0x68,false,
"I2C","data",0.010327776,0.000023048,true,,,0x00
"I2C","data",0.010352464,0.000023048,true,,,0x1A
"I2C","start",0.010375000,0.000000008,,,,
"I2C","address",0.010378392,0.000022744,true,0x68,true,
"I2C","data",0.010402776,0.000023048,true,,,0x0A
"I2C","stop",0.010427152,0.000000008,,,,
"I2C","start",0.010500000,0.000000008,,,,
"I2C","address",0.010503392,0.000022744,true,0x68,false,
"I2C","data",0.010527776,0.000023048,true,,,0x00
"I2C","data",0.010552464,0.000023048,true,,,0x1B
"I2C","start",0.010575000,0.000000008,,,,
"I2C","address",0.010578392,0.000022744,true,0x68,true,
"I2C","data",0.010602776,0.000023048,true,,,0x0B
"I2C","stop",0.010627152,0.000000008,,,,
"I2C","start",0.010700000,0.000000008,,,,
"I2C","address",0.010703392,0.000022744,true,0x68,false,
"I2C","data",0.010727776,0.000023048,true,,,0x00
"I2C","data",0.010752464,0.000023048,true,,,0x1C
"I2C","start",0.010775000,0.000000008,,,,
"I2C","address",0.010778392,0.000022744,true,0x68,true,
"I2C","data",0.010802776,0.000023048,true,,,0x0C
"I2C","stop",0.010827152,0.000000008,,,,
"I2C","start",0.010900000,0.000000008,,,,
"I2C","address",0.010903392,0.000022744,true,0x68,false,
"I2C","data",0.010927776,0.000023048,true,,,0x00
"I2C","data",0.010952464,0.000023048,true,,,0x1D
"I2C","start",0.010975000,0.000000008,,,,
"I2C","address",0.010978392,0.000022744,true,0x68,true,
"I2C","data",0.011002776,0.000023048,true,,,0x0D
"I2C","stop",0.011027152,0.000000008,,,,
"I2C","start",0.011100000,0.000000008,,,,
"I2C","address",0.011103392,0.000022744,true,0x68,false,
"I2C","data",0.011127776,0.000023048,true,,,0x00
"I2C","data",0.011152464,0.000023048,true,,,0x1E
"I2C","start",0.011175000,0.000000008,,,,
"I2C","address",0.011178392,0.000022744,true,0x68,true,
"I2C","data",0.011202776,0.000023048,true,,,0x0E
"I2C","stop",0.011227152,0.000000008,,,,
"I2C","start",0.011300000,0.000000008,,,,
"I2C","address",0.011303392,0.000022744,true,0x68,false,
"I2C","data",0.011327776,0.000023048,true,,,0x00
"I2C","data",0.011352464,0.000023048,true,,,0x1F
"I2C","start",0.011375000,0.000000008,,,,
"I2C","address",0.011378392,0.000022744,true,0x68,true,
"I2C","data",0.011402776,0.000023048,true,,,0x0F
"I2C","stop",0.011427152,0.000000008,,,,
